iter	Passed	Remaining
230	393	1310
231	394	1306
232	395	1302
233	396	1297
234	397	1292
235	397	1287
236	398	1283
237	399	1278
238	400	1274
239	401	1270
240	402	1267
241	403	1263
242	404	1258
243	404	1254
244	406	1251
245	407	1247
246	407	1243
247	408	1239
248	409	1235
249	410	1231
250	411	1226
251	411	1222
252	413	1219
253	414	1216
254	414	1212
255	415	1208
256	416	1205
257	417	1201
258	418	1197
259	419	1193
260	420	1189
261	421	1186
262	421	1182
263	422	1178
264	423	1174
265	424	1170
266	425	1167
267	426	1164
268	427	1161
269	428	1158
270	429	1155
271	430	1151
272	431	1148
273	432	1145
274	433	1142
275	434	1139
276	435	1136
277	436	1132
278	437	1129
279	438	1126
280	439	1123
281	440	1120
282	441	1117
283	442	1114
284	443	1111
285	444	1108
286	444	1105
287	445	1102
288	446	1098
289	447	1095
290	448	1091
291	448	1088
292	449	1085
293	450	1082
294	451	1079
295	452	1076
296	453	1073
297	454	1070
298	455	1067
299	456	1064
300	456	1060
301	457	1057
302	458	1054
303	459	1051
304	459	1047
305	460	1044
306	461	1041
307	462	1038
308	463	1036
309	464	1033
310	466	1032
311	466	1029
312	467	1026
313	468	1023
314	469	1020
315	469	1017
316	470	1014
317	471	1011
318	472	1008
319	472	1004
320	473	1001
321	474	998
322	475	996
323	476	994
324	477	991
325	478	988
326	479	985
327	479	983
328	480	980
329	481	977
330	482	974
331	482	971
332	483	968
333	484	966
334	485	963
335	486	960
336	486	957
337	487	955
338	489	953
339	490	951
340	491	949
341	492	946
342	492	944
343	493	941
344	494	938
345	495	936
346	496	933
347	496	930
348	497	928
349	498	925
350	499	923
351	500	921
352	501	919
353	502	917
354	503	914
355	504	912
356	504	909
357	505	906
358	506	904
359	507	901
360	508	899
361	508	896
362	509	894
363	510	891
364	511	889
365	512	887
366	513	885
367	514	882
368	515	880
369	516	878
370	516	876
371	517	874
372	518	871
373	519	869
374	520	866
375	520	864
376	521	862
377	522	859
378	523	857
379	524	855
380	525	853
381	526	851
382	527	850
383	528	847
384	529	845
385	530	843
386	531	841
387	532	839
388	532	837
389	533	834
390	534	832
391	535	830
392	536	828
393	537	826
394	538	824
395	539	823
396	540	821
397	541	818
398	542	816
399	542	814
400	543	812
401	544	810
402	545	807
403	546	805
404	546	803
405	547	801
406	548	799
407	549	796
408	550	795
409	551	793
410	552	791
411	553	789
412	554	787
413	554	785
414	555	783
415	556	781
416	557	778
417	557	776
418	558	774
419	559	772
420	560	770
421	560	768
422	561	766
423	562	764
424	563	762
425	564	760
426	565	758
427	566	756
428	567	754
429	567	752
430	568	750
431	569	749
432	570	747
433	571	745
434	572	743
435	573	741
436	573	739
437	574	737
438	575	735
439	576	734
440	578	732
441	578	730
442	579	728
443	580	726
444	581	725
445	582	723
446	583	721
447	583	719
448	584	717
449	585	715
450	586	713
451	586	711
452	588	710
453	589	708
454	590	706
455	590	704
456	591	703
457	592	701
458	593	699
459	594	697
460	595	695
461	595	693
462	596	691
463	597	690
464	598	688
465	599	686
466	599	684
467	601	683
468	602	682
469	603	680
470	604	678
471	605	677
472	606	675
473	607	673
474	607	671
475	608	670
476	609	668
